group,variable,value
h1,v1,0
h1,v2,0
h1,v3,0
h1,v4,0
h1,v5,0
h1,v6,0
h1,v7,0
h1,v8,0
h1,v9,0
h1,v10,0
h1,v11,0
h1,v12,0
h1,v13,0
h1,v14,0
h1,v15,0
h1,v16,0
h1,v17,0
h1,v18,0
h1,v19,0
h1,v20,0
h1,v21,0
h1,v22,0
h1,v23,0
h1,v24,0
h1,v25,0
h1,v26,0
h1,v27,0
h1,v28,0
h1,v29,0
h1,v30,0
h1,v31,0
h2,v1,0
h2,v2,0
h2,v3,0
h2,v4,0
h2,v5,0
h2,v6,0
h2,v7,0
h2,v8,0
h2,v9,0
h2,v10,0
h2,v11,0
h2,v12,0
h2,v13,0
h2,v14,0
h2,v15,0
h2,v16,0
h2,v17,0
h2,v18,0
h2,v19,0
h2,v20,0
h2,v21,0
h2,v22,0
h2,v23,0
h2,v24,0
h2,v25,0.858739
h2,v26,0.451274
h2,v27,0.668168
h2,v28,0.635029
h2,v29,0.911988
h2,v30,0.75025
h2,v31,0
h3,v1,0
h3,v2,0
h3,v3,0
h3,v4,0
h3,v5,0
h3,v6,0
h3,v7,0
h3,v8,0
h3,v9,0
h3,v10,0
h3,v11,0
h3,v12,0
h3,v13,0
h3,v14,0
h3,v15,0
h3,v16,0
h3,v17,0
h3,v18,0
h3,v19,0
h3,v20,0
h3,v21,0
h3,v22,0
h3,v23,0
h3,v24,0
h3,v25,0.503021
h3,v26,0.385307
h3,v27,0.654135
h3,v28,0.429252
h3,v29,0.441691
h3,v30,0.637681
h3,v31,0
h4,v1,0
h4,v2,0
h4,v3,0
h4,v4,0
h4,v5,0
h4,v6,0
h4,v7,0
h4,v8,0
h4,v9,0
h4,v10,0
h4,v11,0
h4,v12,0
h4,v13,0
h4,v14,0
h4,v15,0
h4,v16,0
h4,v17,0
h4,v18,0
h4,v19,0
h4,v20,0
h4,v21,0
h4,v22,0
h4,v23,0
h4,v24,0
h4,v25,0.505247
h4,v26,0.475262
h4,v27,0.412747
h4,v28,0.795249
h4,v29,0.563183
h4,v30,0.180882
h4,v31,0
h5,v1,0
h5,v2,0
h5,v3,0
h5,v4,0
h5,v5,0
h5,v6,0
h5,v7,0
h5,v8,0
h5,v9,0
h5,v10,0
h5,v11,0
h5,v12,0
h5,v13,0
h5,v14,0
h5,v15,0
h5,v16,0
h5,v17,0
h5,v18,0
h5,v19,0.218045
h5,v20,0.129518
h5,v21,0.59009
h5,v22,0.390895
h5,v23,0.466267
h5,v24,0.646967
h5,v25,0.506006
h5,v26,0.653673
h5,v27,0.318021
h5,v28,0.243151
h5,v29,0.164087
h5,v30,0.401493
h5,v31,0
h6,v1,0
h6,v2,0
h6,v3,0
h6,v4,0
h6,v5,0
h6,v6,0
h6,v7,0
h6,v8,0
h6,v9,0
h6,v10,0
h6,v11,0
h6,v12,0
h6,v13,0
h6,v14,0
h6,v15,0
h6,v16,0
h6,v17,0
h6,v18,0
h6,v19,0.65967
h6,v20,0.674174
h6,v21,0.340031
h6,v22,0.386466
h6,v23,0.530735
h6,v24,0.83958
h6,v25,0
h6,v26,0
h6,v27,0
h6,v28,0
h6,v29,0
h6,v30,0
h6,v31,0
h7,v1,0
h7,v2,0
h7,v3,0
h7,v4,0
h7,v5,0
h7,v6,0
h7,v7,0
h7,v8,0
h7,v9,0
h7,v10,0
h7,v11,0
h7,v12,0
h7,v13,0
h7,v14,0
h7,v15,0
h7,v16,0
h7,v17,0
h7,v18,0
h7,v19,0.401799
h7,v20,0.785607
h7,v21,0.604198
h7,v22,0.646177
h7,v23,0.743307
h7,v24,0.197531
h7,v25,0
h7,v26,0
h7,v27,0
h7,v28,0
h7,v29,0
h7,v30,0
h7,v31,0
h8,v1,0
h8,v2,0
h8,v3,0
h8,v4,0
h8,v5,0
h8,v6,0
h8,v7,0
h8,v8,0
h8,v9,0
h8,v10,0
h8,v11,0
h8,v12,0
h8,v13,0
h8,v14,0
h8,v15,0
h8,v16,0
h8,v17,0
h8,v18,0
h8,v19,0.482759
h8,v20,0.507622
h8,v21,0.511244
h8,v22,0.665667
h8,v23,0.377811
h8,v24,0.304348
h8,v25,0
h8,v26,0
h8,v27,0
h8,v28,0
h8,v29,0
h8,v30,0
h8,v31,0
h9,v1,0
h9,v2,0
h9,v3,0
h9,v4,0
h9,v5,0
h9,v6,0
h9,v7,0
h9,v8,0
h9,v9,0
h9,v10,0
h9,v11,0
h9,v12,0
h9,v13,0
h9,v14,0
h9,v15,0
h9,v16,0
h9,v17,0
h9,v18,0
h9,v19,0.50075
h9,v20,0.161919
h9,v21,0
h9,v22,0
h9,v23,0
h9,v24,0
h9,v25,0
h9,v26,0
h9,v27,0
h9,v28,0
h9,v29,0
h9,v30,0
h9,v31,0
h10,v1,0
h10,v2,0
h10,v3,0
h10,v4,0
h10,v5,0
h10,v6,0
h10,v7,0
h10,v8,0
h10,v9,0
h10,v10,0
h10,v11,0
h10,v12,0
h10,v13,0
h10,v14,0
h10,v15,0
h10,v16,0
h10,v17,0
h10,v18,0
h10,v19,0.644678
h10,v20,0.705706
h10,v21,0
h10,v22,0
h10,v23,0
h10,v24,0
h10,v25,0
h10,v26,0
h10,v27,0
h10,v28,0
h10,v29,0
h10,v30,0
h10,v31,0
h11,v1,0
h11,v2,0
h11,v3,0
h11,v4,0
h11,v5,0
h11,v6,0
h11,v7,0
h11,v8,0
h11,v9,0
h11,v10,0
h11,v11,0.310559
h11,v12,0.035714
h11,v13,0.666149
h11,v14,0.378882
h11,v15,0.274571
h11,v16,0.540373
h11,v17,0.75
h11,v18,0.666149
h11,v19,0
h11,v20,0
h11,v21,0
h11,v22,0
h11,v23,0
h11,v24,0
h11,v25,0
h11,v26,0
h11,v27,0
h11,v28,0
h11,v29,0
h11,v30,0
h11,v31,0
h12,v1,0
h12,v2,0
h12,v3,0
h12,v4,0
h12,v5,0
h12,v6,0
h12,v7,0
h12,v8,0
h12,v9,0
h12,v10,0
h12,v11,0.686335
h12,v12,0.73913
h12,v13,0.461905
h12,v14,0.39441
h12,v15,0.574534
h12,v16,0.570983
h12,v17,0.740683
h12,v18,0.754277
h12,v19,0
h12,v20,0
h12,v21,0
h12,v22,0
